20180521 040100;2729.5;2730.25;2729.5;2730.25;85
20180521 040200;2730.25;2730.25;2730;2730.25;7
20180521 040300;2730.25;2730.25;2730;2730;74
20180521 040400;2730;2730;2730;2730;30
20180521 040500;2730;2730;2729.75;2730;68
20180521 040600;2730;2730;2729.75;2730;28
20180521 040700;2730;2730;2730;2730;8
20180521 040800;2730;2730;2729.75;2730;21
20180521 040900;2730;2730;2729.75;2730;4
20180521 041000;2730;2730.25;2730;2730;34
20180521 041100;2730.25;2730.25;2730;2730.25;11
20180521 041200;2730.25;2730.25;2730;2730.25;4
20180521 041300;2730.25;2730.25;2729.75;2729.75;103
20180521 041400;2729.75;2730;2729.75;2730;3
20180521 041500;2730;2730;2729.75;2729.75;4
20180521 041600;2729.75;2730;2729.75;2729.75;3
20180521 041700;2730;2730;2729.75;2730;10
20180521 041800;2730;2730;2729.75;2729.75;15
20180521 041900;2730;2730;2729.75;2729.75;6
20180521 042000;2730;2730;2730;2730;2
20180521 042100;2729.75;2730;2729.75;2729.75;19
20180521 042200;2730;2730;2729.75;2730;10
20180521 042300;2729.75;2730;2729.75;2730;60
20180521 042400;2729.75;2730;2729.75;2730;25
20180521 042500;2730;2730;2730;2730;76
20180521 042600;2730;2730;2729.5;2729.75;95
20180521 042700;2729.75;2730;2729.75;2730;16
20180521 042800;2730;2730;2730;2730;13
20180521 042900;2730;2730;2729.75;2730;11
20180521 043000;2730;2730;2729.75;2730;50
20180521 043100;2730;2730;2729.75;2730;51
20180521 043200;2730;2730;2730;2730;2
20180521 043300;2730;2730;2730;2730;4
20180521 043400;2730;2730;2730;2730;8
20180521 043500;2730;2730;2730;2730;7
20180521 043600;2730;2730;2729.75;2730;8
20180521 043700;2730;2730;2729.75;2730;6
20180521 043800;2730;2730;2729.75;2729.75;6
20180521 043900;2730;2730;2729.75;2730;59
20180521 044000;2730;2730;2730;2730;8
20180521 044100;2729.75;2730;2729.75;2729.75;11
20180521 044200;2730;2730;2729.75;2729.75;4
20180521 044300;2730;2730;2730;2730;2
20180521 044400;2729.75;2729.75;2729.5;2729.75;65
20180521 044500;2729.75;2729.75;2729.75;2729.75;2
20180521 044600;2729.5;2729.75;2729;2729.25;212
20180521 044700;2729.25;2729.5;2729.25;2729.25;12
20180521 044800;2729.25;2729.5;2729.25;2729.5;3
20180521 044900;2729.5;2729.75;2729.5;2729.5;77
20180521 045000;2729.5;2729.75;2729.25;2729.75;51
20180521 045100;2729.5;2729.5;2729.5;2729.5;2
20180521 045200;2729.75;2729.75;2729.5;2729.5;15
20180521 045300;2729.75;2729.75;2729.5;2729.5;58
20180521 045400;2729.75;2729.75;2729.5;2729.5;31
20180521 045500;2729.5;2729.5;2729;2729;110
20180521 045600;2729;2729.25;2729;2729;141
20180521 045700;2729;2729.25;2729;2729.25;46
20180521 045800;2729.25;2729.25;2729;2729;4
20180521 045900;2729.25;2729.25;2729;2729;4
20180521 050000;2729.25;2729.25;2729;2729.25;49
20180521 050100;2729.25;2729.5;2729.25;2729.5;90
20180521 050200;2729.5;2729.5;2729.25;2729.25;11
20180521 050300;2729.5;2729.5;2729.25;2729.5;9
20180521 050400;2729.5;2729.5;2729;2729.25;120
20180521 050500;2729.25;2729.25;2729;2729;11
20180521 050600;2729.25;2729.25;2728.75;2728.75;86
20180521 050700;2729;2729;2728.75;2729;126
20180521 050800;2729;2729;2728.75;2728.75;9
20180521 050900;2729;2729;2728.75;2729;147
20180521 051000;2729.25;2729.25;2729;2729;8
20180521 051100;2729.25;2729.25;2729;2729.25;60
20180521 051200;2729;2729.5;2729;2729.25;57
20180521 051300;2729.25;2729.25;2729;2729;2
20180521 051400;2729.25;2729.25;2729;2729;5
20180521 051500;2729.25;2729.25;2729.25;2729.25;3
20180521 051600;2729.25;2729.25;2729;2729.25;97
20180521 051700;2729;2729.5;2729;2729.25;50
20180521 051800;2729.25;2729.5;2729.25;2729.25;11
20180521 051900;2729.5;2729.5;2729.25;2729.25;9
20180521 052000;2729.25;2729.25;2729.25;2729.25;43
20180521 052100;2729.25;2729.25;2729.25;2729.25;28
20180521 052200;2729.25;2729.25;2729.25;2729.25;29
20180521 052300;2729.25;2729.5;2729.25;2729.25;20
20180521 052400;2729;2729.5;2729;2729.5;15
20180521 052500;2729.25;2729.5;2729.25;2729.5;4
20180521 052600;2729.5;2729.5;2729.5;2729.5;1
20180521 052800;2729.25;2729.5;2729.25;2729.25;67
20180521 052900;2729.25;2729.5;2729.25;2729.25;72
20180521 053000;2729.5;2729.5;2729.25;2729.5;16
20180521 053100;2729.25;2729.5;2729.25;2729.25;7
20180521 053200;2729.5;2729.75;2729.5;2729.75;67
20180521 053300;2729.5;2729.75;2729.5;2729.5;12
20180521 053400;2729.5;2729.75;2729.5;2729.75;6
20180521 053500;2729.75;2729.75;2729.5;2729.75;27
20180521 053600;2730;2730;2729.25;2729.25;112
20180521 053700;2729.5;2729.75;2729.5;2729.75;35
20180521 053800;2729.5;2730;2729.5;2729.75;151
20180521 053900;2729.75;2730;2729.75;2730;7
20180521 054000;2729.75;2730;2729.75;2730;14
20180521 054100;2729.75;2730;2729.5;2729.5;100
20180521 054200;2729.75;2729.75;2729.5;2729.5;2
20180521 054300;2729.75;2729.75;2729.5;2729.75;6
20180521 054400;2729.5;2729.75;2729.5;2729.75;7
20180521 054500;2729.5;2730;2729.5;2730;54
20180521 054600;2729.75;2730;2729.75;2729.75;4
20180521 054700;2729.75;2729.75;2729.75;2729.75;4
20180521 054800;2730;2730;2729.75;2729.75;12
20180521 054900;2729.75;2729.75;2729.25;2729.75;96
20180521 055000;2729.5;2729.75;2729.5;2729.75;63
20180521 055100;2729.5;2729.5;2729.5;2729.5;52
20180521 055200;2729.75;2729.75;2729.5;2729.75;50
20180521 055300;2729.5;2729.75;2729.5;2729.75;2
20180521 055400;2729.75;2729.75;2729.5;2729.75;23
20180521 055500;2729.5;2729.75;2729.5;2729.5;8
20180521 055600;2729.75;2729.75;2729.5;2729.5;6
20180521 055700;2729.5;2729.5;2729.5;2729.5;64
20180521 055800;2729.5;2729.75;2729.5;2729.5;25
